# Time-averaged data for fix muavg
# TimeStep v_muex v_boltz v_wvol
83100 -3.4617 332.499 16219.6
83200 -3.11741 186.63 16104.9
83300 -2.77493 105.074 16088.9
83400 -2.69429 91.7794 16078.2
83500 -4.58949 2204.8 16064.9
83600 -3.32156 262.847 16031.7
83700 -2.28777 46.4088 16018.2
83800 -3.11797 186.806 16094.3
83900 -9.11292 4.35127e+06 16147
84000 -2.42827 58.743 16134
84100 -2.04893 31.0894 16156
84200 -14.3335 2.76516e+10 16107
84300 -4.02538 855.909 16060.2
84400 -1.42404 10.8992 16093.4
84500 -7.99987 672632 16129.3
84600 -7.75346 444911 16177.6
84700 -7.67751 391690 16228.5
84800 -2.24123 42.9243 16243.7
84900 -1.95482 26.5495 16215.7
85000 -1.02476 5.57853 16174.7
85100 -4.7993 3134.83 16155.5
85200 -5.53385 10747.8 16121.7
85300 -2.12654 35.412 16095.4
85400 0.698823 0.309684 16095.9
85500 -1.82988 21.5298 16046.2
85600 -2.1297 35.6002 16054.4
85700 -3.16386 201.752 16093.4
85800 -2.08381 32.9627 16117.9
85900 -3.22424 223.26 16196.8
86000 -6.12148 28800.6 16290.3
86100 -5.87278 18976.9 16343.6
86200 -5.06132 4865.08 16289.4
86300 -2.46547 62.5257 16185.1
86400 -4.54663 2051.87 16088.2
86500 -6.60511 64821.2 16047
86600 -6.00394 23647 16055.8
86700 -5.89155 19584 16100.2
86800 -7.23312 185870 16125.8
86900 -3.4607 331.943 16100.4
87000 -2.6087 79.505 16079.8
87100 -4.07604 931.815 16101.4
87200 -4.07333 927.583 16099.7
87300 -1.30689 8.95463 16033.5
87400 -0.155431 1.29786 16004
87500 -4.00929 833.117 16063.5
87600 -6.40426 46280.5 16164.4
87700 -4.45801 1768.44 16208.9
87800 -2.53687 70.4801 16210.5
87900 -7.00277 126301 16184.1
88000 -3.679 478.732 16188.4
88100 -3.05991 169.471 16250.7
88200 -5.60709 12152.7 16271
88300 -1.10207 6.35096 16287.3
88400 -7.89437 563537 16335.3
88500 -8.14691 860786 16323.8
88600 -5.53828 10828 16210
88700 -4.91989 3837.6 16070.5
88800 0.0870633 0.864123 15986.1
88900 -1.18693 7.32255 16035.5
89000 -5.02376 4568.02 16164.8
89100 -1.25346 8.18705 16238.7
89200 -3.42308 311.647 16311.2
89300 -5.36004 8029.82 16337.5
89400 -5.32872 7618.76 16333.2
89500 -5.09766 5170.87 16324.7
89600 -10.0087 1.95529e+07 16237.2
89700 -1.16012 7.00044 16129.3
89800 -5.42257 8917.74 16129.2
89900 -1.49642 12.3061 16147.7
90000 -2.00329 28.7983 16136.4
90100 -6.85928 99283.1 16171
90200 -10.7596 6.88936e+07 16174
90300 -9.83852 1.46962e+07 16199
90400 -1.4818 12.008 16215.2
90500 -5.00625 4435.82 16143
90600 -0.95316 4.94723 16064.6
90700 -0.0790737 1.14184 16016.1
90800 -6.97423 120397 15966.9
90900 -1.08531 6.1749 15985.2
91000 -3.29832 252.8 16086.1
91100 -3.2552 235.157 16136.3
91200 -5.95971 21956.2 16170.9
91300 -0.519213 2.38912 16152.9
91400 -5.5731 11479.3 16137.2
91500 -1.33952 9.45848 16125.5
91600 -2.37847 54.0352 16052
91700 -2.12688 35.432 16013.4
91800 -3.05113 166.995 16097.6
91900 -18.5255 3.12994e+13 16279.1
92000 -1.71278 17.6901 16361.2
92100 -6.16453 30957.1 16314.7
92200 -3.1197 187.349 16306.1
92300 -2.3079 48.0027 16329.9
92400 -1.27738 8.52218 16338.9
92500 -2.31884 48.8919 16288.8
92600 -4.61446 2299.11 16178.2
92700 -2.15904 37.396 16159
92800 -5.31649 7464.09 16203.8
92900 -4.65359 2455.07 16271.4
93000 -2.47722 63.77 16339
93100 -2.47807 63.8605 16432.9
93200 -1.68726 16.9489 16463.5
93300 -2.79155 108.043 16476.9
93400 -0.971419 5.10109 16416.1
93500 -3.7177 510.842 16240.7
93600 -4.38516 1565.01 16177
93700 -3.40655 303.123 16175
93800 -2.60261 78.6975 16164.5
93900 -0.901164 4.53402 16138.7
94000 -2.73517 98.2945 16119.5
94100 -1.52345 12.8769 16227.5
94200 -4.37089 1527.99 16364.8
94300 -8.70037 2.17812e+06 16395.4
94400 -1.01214 5.46173 16444.5
94500 -0.308525 1.67786 16528.6
94600 -4.15895 1070.84 16485.7
94700 -4.71809 2735.61 16357.7
94800 -3.63083 441.571 16261.3
94900 -0.41911 2.01983 16272.9
95000 -3.9286 727.649 16304.2
95100 -2.52014 68.5301 16251.8
95200 -7.08168 144174 16192
95300 -4.7745 3007.07 16168.4
95400 -1.61214 14.9422 16186.8
95500 -4.31846 1399.35 16231.5
95600 -2.32055 49.0324 16269.3
95700 -1.26618 8.36359 16328.2
95800 -2.96096 143.553 16308.9
95900 -0.145184 1.27575 16262.5
96000 -4.76863 2977.65 16214.4
96100 -5.79791 16737.3 16173.1
96200 -2.14603 36.5886 16239
96300 -7.52963 305642 16265.6
96400 0.421828 0.492839 16151.7
96500 -2.7184 95.5679 16059.4
96600 -2.91608 133.143 16144.4
96700 -1.71765 17.8353 16237.3
96800 -3.27132 241.603 16227.6
96900 -2.89499 128.516 16181.4
97000 -5.03798 4678.27 16171.4
97100 -2.47372 63.3961 16128.2
97200 -0.161409 1.31094 16086.8
97300 -4.85095 3418.53 16086.5
97400 -6.87319 101627 16158
97500 -2.5159 68.044 16231.6
97600 -10.9823 1.00098e+08 16240.4
97700 -3.2576 236.108 16229.9
97800 -6.54034 58148 16164.7
97900 -0.793199 3.78297 16048.1
98000 -2.63967 83.7454 15974.1
98100 -3.40283 301.238 15954
98200 -9.7844 1.34208e+07 16015.3
98300 -4.2217 1189.72 16089.4
98400 -1.71455 17.7429 16146.3
98500 -0.552411 2.52594 16105.1
98600 -2.32807 49.6545 16051.6
98700 -4.27949 1310.82 16036
98800 -3.47682 341.039 16096.3
98900 -1.69533 17.1798 16223.5
99000 -7.88686 556482 16251.6
99100 -5.1092 5271.91 16223
99200 -3.34684 274.235 16181.1
99300 -3.23592 227.676 16161.3
99400 -5.38531 8377.44 16155.5
99500 -3.22622 224 16220.2
99600 -2.73195 97.7642 16250.8
99700 -2.42991 58.9052 16296
99800 -3.25775 236.169 16291.3
99900 -1.1799 7.23669 16256.8
100000 -4.96051 4108.19 16303
100100 -1.23229 7.90145 16345.6
100200 -7.71022 413783 16325.4
100300 0.138163 0.793141 16287.9
100400 -6.95663 116894 16245.1
100500 -3.13825 193.271 16202.9
100600 -8.11348 813842 16240.3
100700 -5.06148 4866.36 16286.7
100800 -2.52895 69.5499 16302.2
100900 -2.28046 45.8439 16278.9
101000 0.132335 0.800933 16275.6
101100 -0.960138 5.00548 16253.4
101200 -3.38002 289.929 16229.6
101300 -5.86866 18846.3 16276.3
101400 -8.0226 698772 16290.1
101500 -3.39204 295.832 16254
101600 -1.6794 16.7271 16275.4
101700 -2.79658 108.959 16342.7
101800 -2.86206 121.609 16317.4
101900 -1.42966 11.0024 16290.2
102000 -6.46662 51384.5 16254.3
102100 -3.72581 517.841 16278.2
102200 -1.53182 13.0588 16324.2
102300 -8.00759 681393 16339.8
102400 -4.56962 2132.55 16344.8
102500 -2.71995 95.8171 16363.2
102600 -0.898858 4.51651 16388.5
102700 -3.77147 559.058 16393.6
102800 -6.72308 79005.2 16368.2
102900 -2.56268 73.5991 16385.3
103000 -2.68054 89.6867 16487.1
103100 -5.82913 17637 16531.8
103200 -4.42051 1660.62 16489.2
103300 -3.44714 324.479 16432.3
103400 -4.89237 3664.51 16392.6
103500 -1.65992 16.1893 16388.3
103600 -3.0086 155.496 16421.6
103700 -1.83936 21.8747 16389.7
103800 -8.12435 828822 16292.8
103900 -5.07013 4937.54 16154.2
104000 -1.75133 18.872 16062.4
